Car_Name,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Selling_Price
Audi,2008,48634,Petrol,Individual,Manual,Third Owner,25.64,1200,77.53,5,50000
Toyota,2012,122255,Petrol,Trustmark Dealer,Automatic,Second Owner,22.38,1200,68.42,7,50000
Tata,2017,47864,Diesel,Dealer,Automatic,First Owner,16.88,2500,112.7,4,371643.49
Ford,2014,99482,Petrol,Dealer,Automatic,Third Owner,21.84,3000,155.56,5,178573.25
Audi,2006,42355,Petrol,Trustmark Dealer,Manual,First Owner,29.38,1500,94.18,7,50000
Kia,2012,42690,CNG,Dealer,Automatic,Third Owner,30.04,1000,66.27,7,50000
Honda,2010,173886,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner,26.24,1200,70.19,7,56728.65
Audi,2020,167717,Petrol,Trustmark Dealer,Automatic,Third Owner,21.69,1800,129.89,5,684612.68
Tata,2022,61630,Electric,Individual,Manual,Third Owner,24.39,800,35.6,6,161664.59
Ford,2021,184243,Diesel,Individual,Automatic,First Owner,19.63,1800,78.09,5,384454.65
Toyota,2010,26658,Petrol,Individual,Automatic,First Owner,13.16,3000,125.31,6,50000
Tata,2017,20797,Diesel,Individual,Automatic,Second Owner,19.64,2000,122.87,5,245307.75
Tata,2018,63799,Diesel,Dealer,Manual,First Owner,23.26,3000,204.75,6,364400.04
Honda,2014,123301,Petrol,Dealer,Manual,First Owner,24.97,1200,54.27,5,60712.12
BMW,2015,57236,Petrol,Dealer,Automatic,Second Owner,33.4,800,52.45,7,176885.9
Ford,2017,11265,Petrol,Individual,Manual,First Owner,29.43,1500,88.62,5,187574.52
Hyundai,2016,130611,Diesel,Dealer,Automatic,Third Owner,13.8,800,63.6,5,89066.65
Tata,2013,189566,Petrol,Dealer,Manual,Third Owner,14.35,3000,206.1,5,50000
BMW,2008,126754,CNG,Dealer,Manual,Third Owner,12.51,800,53.04,6,50000
Hyundai,2011,188340,Diesel,Individual,Automatic,Second Owner,28.45,2500,157.04,5,50000
Ford,2006,163070,Petrol,Trustmark Dealer,Automatic,Third Owner,27.65,800,63.92,4,50000
Maruti,2011,96426,Diesel,Trustmark Dealer,Manual,Third Owner,34.66,1200,95.06,5,50000
Kia,2013,197411,Petrol,Dealer,Manual,Second Owner,23.05,2500,153.81,7,50000
BMW,2009,150378,Diesel,Trustmark Dealer,Manual,First Owner,30.66,3000,174.62,5,50000
Mahindra,2019,183417,Diesel,Individual,Automatic,Third Owner,24.41,3000,175.45,5,315433.04
Maruti,2022,147957,Petrol,Individual,Manual,Third Owner,31.85,3000,171.4,5,284291.77
Kia,2008,114681,Diesel,Individual,Automatic,First Owner,28.03,2500,153.14,7,50000
Honda,2023,48826,Petrol,Dealer,Automatic,First Owner,26.07,2000,101.89,5,733265.34
Audi,2011,60597,Petrol,Trustmark Dealer,Manual,Second Owner,24.13,2000,154.14,7,60363.73
Toyota,2012,143515,Petrol,Dealer,Automatic,First Owner,28.07,2500,149.02,7,50000
Mahindra,2021,102375,Petrol,Dealer,Manual,Third Owner,20.49,2500,184.2,5,271092.58
Honda,2017,22084,Electric,Individual,Manual,Fourth & Above Owner,12.41,3000,177.04,5,307065.04
Ford,2015,94447,Petrol,Dealer,Automatic,First Owner,11,3000,206.19,6,264665.87
